/home/user/Zelda/tools/lot1_repetition.py:131: DeprecationWarning: Image.Image.getdata is deprecated and will be removed in Pillow 14 (2027-10-15). Use get_flattened_data instead.
  pixels = list(image.getdata())
règle R-D3 — docs/V2_3_B_LOT1_CONTROLES.md §3
commit 912a10b954c0 · dirty=False

--- 30 m — seuil S = 0.4931 (calibré sur 36 paires acceptées, paire calibrante : valley.poi.abandoned_farm.01 / valley.poi.stone_bridge.01) ---
a                                      b                                          IoU  dprofil
valley.poi.forest_shrine.01            valley.poi.waterfall_cave.01            0.3914   0.1592
valley.poi.overlook_summit.01          valley.poi.stone_bridge.01              0.3871   0.2378
valley.poi.turquoise_spring.01         valley.poi.abandoned_farm.01            0.3720   0.1572
valley.poi.forest_shrine.01            valley.poi.stone_bridge.01              0.3677   0.0941
valley.poi.watchtower_ruin.01          valley.poi.stone_bridge.01              0.3643   0.1401
valley.poi.overlook_summit.01          valley.poi.ember_raider_camps.01        0.3581   0.1233
valley.poi.watchtower_ruin.01          valley.poi.overlook_summit.01           0.3570   0.1672
valley.poi.overlook_summit.01          valley.poi.barrow_cemetery.01           0.3542   0.1175
valley.poi.turquoise_spring.01         valley.poi.riverside_village.01         0.3498   0.0726
valley.poi.barrow_cemetery.01          valley.poi.riverside_village.01         0.3431   0.1301
valley.poi.watchtower_ruin.01          valley.poi.abandoned_farm.01            0.3188   0.1701
valley.poi.watchtower_ruin.01          valley.poi.forest_shrine.01             0.2924   0.1855
valley.poi.turquoise_spring.01         valley.poi.waterfall_cave.01            0.2873   0.1121
valley.poi.overlook_summit.01          valley.poi.waterfall_cave.01            0.2806   0.1475
valley.poi.turquoise_spring.01         camp                                    0.2688   0.1073
valley.poi.turquoise_spring.01         valley.poi.barrow_cemetery.01           0.2678   0.1484
valley.poi.watchtower_ruin.01          pylon                                   0.2641   0.1890
valley.poi.watchtower_ruin.01          valley.poi.turquoise_spring.01          0.2581   0.1987
valley.poi.forest_shrine.01            valley.poi.abandoned_farm.01            0.2414   0.1936
valley.poi.forest_shrine.01            valley.poi.conductive_basin.01          0.2388   0.1191
valley.poi.watchtower_ruin.01          valley.poi.barrow_cemetery.01           0.2342   0.1500
valley.poi.barrow_cemetery.01          valley.poi.abandoned_farm.01            0.2323   0.1354
valley.poi.barrow_cemetery.01          valley.poi.stone_bridge.01              0.2314   0.1826
valley.poi.overlook_summit.01          camp                                    0.2218   0.1633
valley.poi.forest_shrine.01            valley.poi.thunderstruck_tree.01        0.2147   0.1046
valley.poi.turquoise_spring.01         valley.poi.forest_shrine.01             0.2102   0.1032
valley.poi.forest_shrine.01            valley.poi.riverside_village.01         0.2058   0.1046
valley.poi.barrow_cemetery.01          valley.poi.waterfall_cave.01            0.2000   0.1287
valley.poi.forest_shrine.01            pylon                                   0.1943   0.1038
valley.poi.watchtower_ruin.01          valley.poi.ember_raider_camps.01        0.1868   0.1359
valley.poi.barrow_cemetery.01          camp                                    0.1746   0.2027
valley.poi.barrow_cemetery.01          valley.poi.conductive_basin.01          0.1745   0.1838
valley.poi.flower_field.01             valley.poi.riverside_village.01         0.1689   0.1290
valley.poi.watchtower_ruin.01          valley.poi.thunderstruck_tree.01        0.1641   0.1740
valley.poi.forest_shrine.01            valley.poi.flower_field.01              0.1524   0.0959
valley.poi.watchtower_ruin.01          valley.poi.conductive_basin.01          0.1512   0.2561
valley.poi.overlook_summit.01          valley.poi.flower_field.01              0.1448   0.1364
valley.poi.flower_field.01             valley.poi.stone_bridge.01              0.1334   0.1495
valley.poi.flower_field.01             valley.poi.abandoned_farm.01            0.1279   0.1335
valley.poi.watchtower_ruin.01          valley.poi.flower_field.01              0.1260   0.1229
valley.poi.turquoise_spring.01         valley.poi.flower_field.01              0.1253   0.1459
valley.poi.turquoise_spring.01         valley.poi.conductive_basin.01          0.1233   0.2445
valley.poi.watchtower_ruin.01          camp                                    0.1220   0.2194
valley.poi.barrow_cemetery.01          valley.poi.thunderstruck_tree.01        0.1190   0.1848
valley.poi.overlook_summit.01          valley.poi.conductive_basin.01          0.1137   0.2670
valley.poi.forest_shrine.01            valley.poi.barrow_cemetery.01           0.1119   0.1834
valley.poi.flower_field.01             valley.poi.waterfall_cave.01            0.1068   0.1181
valley.poi.flower_field.01             pylon                                   0.0957   0.1989
valley.poi.overlook_summit.01          valley.poi.thunderstruck_tree.01        0.0918   0.2610
valley.poi.overlook_summit.01          pylon                                   0.0859   0.2863
valley.poi.flower_field.01             valley.poi.thunderstruck_tree.01        0.0850   0.1440
valley.poi.overlook_summit.01          valley.poi.forest_shrine.01             0.0848   0.1840
valley.poi.flower_field.01             valley.poi.ember_raider_camps.01        0.0722   0.0951
valley.poi.turquoise_spring.01         pylon                                   0.0695   0.2308
valley.poi.flower_field.01             valley.poi.conductive_basin.01          0.0691   0.2441
valley.poi.barrow_cemetery.01          pylon                                   0.0679   0.2323
valley.poi.turquoise_spring.01         valley.poi.thunderstruck_tree.01        0.0660   0.2534
valley.poi.forest_shrine.01            valley.poi.ember_raider_camps.01        0.0632   0.1750
valley.poi.barrow_cemetery.01          valley.poi.flower_field.01              0.0466   0.1354
valley.poi.forest_shrine.01            camp                                    0.0462   0.2180
valley.poi.flower_field.01             camp                                    0.0438   0.1717

VERDICT : FAIL — valley.poi.watchtower_ruin.01 ≈ valley.poi.waterfall_cave.01 à 30 m (IoU 0.497 > S 0.493); valley.poi.watchtower_ruin.01 ≈ valley.poi.waterfall_cave.01 à 80 m (IoU 0.493 > S 0.491)
