============================================================================
MASQUE DE BOUCHE — addendum §2, execute
============================================================================
GLB     : /home/user/zelda-r2a355/reference/SM_WaterfallCave_R2a34_8bf1a1b3.glb
sha256  : 8bf1a1b309aee79f92c77371f0f5137c3e6ceefc1ecf4842f038af4f48c77110   <- lu AVANT toute mesure
tables  : git:504ecbe:source_assets/blender/environment/make_waterfall_cave.py

--- le chemin, et son origine d'abscisse ---
  station « seuil » : indice 1, ay = 0.000  (ay = 0 par definition)
  u    ax        ay        s (m)     note
  0    0.000     -1.150    -1.150    
  1    0.000     0.000     0.000     <- seuil, s = 0
  2    0.060     1.600     1.601     
  3    0.240     3.200     3.211     
  4    0.580     4.750     4.798     
  5    1.050     6.250     6.370     
  6    1.620     7.600     7.835     
  7    2.250     8.650     9.060     
  8    2.850     9.250     9.908     

--- la section ---
  GABARIT CONTRACTUEL : demi-largeur 0.950 m, cle 2.050 m
  asymetrie CAVITE_ASYM appliquee (gauche/droite/linteau)

--- §2.4 extremite exterieure ---
  script de lieu : git:504ecbe:scripts/world_v2/poi/waterfall_cave_place.gd
  MODELE_SEUIL_DEHORS   Godot  (0.000 ; 0.100 ; 1.600)
                        modele (0.000 ; -1.600 ; 0.100)
  projete sur le chemin : u = -0.3913, distance a l'axe 0.0000 m
  s_dehors = -1.6000 m   <- MESURE, pas recopie de l'addendum
  (u < 0 : le repere vit DEVANT la levre du porche ; le chemin
   est prolonge par la tangente de son premier segment, §2.4)

--- §2.5 recherche de `s_enclos` ---
  19954 faces, 9975 sommets soudes
  72 rayons par section, pas de 5.0 degres, confirmation a +0.25 m
  sol du gabarit : denivele extrapole, fidele a `sol_de_cavite()`

  boite du modele : ax[-8.29 8.91] ay[-3.99 12.25] az[-3.55 9.64]

  LES PORTEES SONT PUBLIEES, et elles sont le vrai diagnostic :
  « rencontrer de la roche avant de sortir de la boite » est une
  condition FAIBLE — un rayon lateral finit toujours par frapper
  le massif d'en face. Une portee mediane de 0,5 m dit « paroi
  collee » ; une portee mediane de 6 m dit « salle », et la
  section n'est enfermee qu'au sens de la lettre.

  s (m)     ay        sortants   enferme  port.min  port.med  port.max
  0.250     0.250     0          OUI      0.098     0.817     3.939
  0.300     0.300     0          OUI      0.094     0.818     3.939
  0.350     0.350     0          OUI      0.003     0.813     3.940
  0.400     0.400     0          OUI      0.010     0.814     3.941
  0.450     0.450     0          OUI      0.017     0.812     3.942
  0.500     0.500     0          OUI      0.025     0.809     3.942
  0.550     0.550     0          OUI      0.032     0.807     3.926
  0.600     0.600     0          OUI      0.039     0.805     3.749
  0.650     0.650     0          OUI      0.046     0.803     3.700
  0.700     0.700     0          OUI      0.053     0.801     3.551
  0.750     0.749     0          OUI      0.058     0.798     3.549
  0.800     0.799     0          OUI      0.053     0.794     3.547
  0.850     0.849     0          OUI      0.049     0.791     3.545
  0.900     0.899     0          OUI      0.045     0.787     3.542
  0.950     0.949     0          OUI      0.041     0.793     3.536
  1.000     0.999     0          OUI      0.037     0.802     3.529
  1.050     1.049     0          OUI      0.033     0.810     3.522
  1.100     1.099     0          OUI      0.028     0.818     3.516
  1.150     1.149     0          OUI      0.024     0.826     3.511
  1.200     1.199     0          OUI      0.020     0.830     3.507
  1.250     1.249     0          OUI      0.016     0.834     3.504
  1.300     1.299     0          OUI      0.012     0.834     3.500
  1.350     1.349     0          OUI      0.008     0.835     3.497
  1.400     1.399     0          OUI      0.003     0.836     3.494
  1.450     1.449     0          OUI      0.160     0.848     3.490
  1.500     1.499     0          OUI      0.167     0.849     3.487
  1.550     1.549     0          OUI      0.174     0.850     3.483
  1.600     1.599     0          OUI      0.179     0.847     3.474
  1.650     1.649     0          OUI      0.185     0.821     3.477
  1.700     1.698     0          OUI      0.192     0.828     3.476
  1.750     1.748     0          OUI      0.191     0.849     3.475
  1.800     1.798     0          OUI      0.183     0.839     3.474
  1.850     1.847     0          OUI      0.175     0.833     3.474
  1.900     1.897     0          OUI      0.167     0.853     3.473
  1.950     1.947     0          OUI      0.158     0.855     3.475
  2.000     1.996     0          OUI      0.150     0.846     3.483
  2.050     2.046     0          OUI      0.142     0.852     3.490
  2.100     2.096     0          OUI      0.008     0.836     3.350
  2.150     2.145     0          OUI      0.017     0.828     3.345
  2.200     2.195     0          OUI      0.025     0.837     3.335
  2.250     2.245     0          OUI      0.034     0.843     3.309
  2.300     2.294     0          OUI      0.043     0.838     3.283
  2.350     2.344     0          OUI      0.051     0.836     3.277
  2.400     2.394     0          OUI      0.060     0.848     3.275
  2.450     2.444     0          OUI      0.068     0.845     3.274
  2.500     2.493     0          OUI      0.067     0.848     3.281
  2.550     2.543     0          OUI      0.059     0.862     3.290
  2.600     2.593     0          OUI      0.051     0.877     3.307
  2.650     2.642     0          OUI      0.043     0.887     3.324
  2.700     2.692     0          OUI      0.034     0.896     3.336
  2.750     2.742     0          OUI      0.026     0.911     3.345
  2.800     2.791     0          OUI      0.018     0.915     3.354
  2.850     2.841     0          OUI      0.010     0.917     3.364
  2.900     2.891     0          OUI      0.001     0.920     3.373
  2.950     2.940     0          OUI      0.154     0.928     3.524
  3.000     2.990     0          OUI      0.163     0.932     3.511

--- les deux lectures de « la premiere section enfermee » ---
  A litterale        : s = -1.6000 m, u = -0.3913, ay = -1.600   (plus petit s enferme, confirme a +0,25)
  B apres ouverture  : AUCUNE sur [-1.60 ; 3.00]   (premier s enferme SUIVANT une section ouverte)

  ecrit : evidence/world_v2/v2_3_r2a/grotte/r2a355_agentC/masque_canonique_gabarit.json
RC=0
