fichier;ligne;texte;contexte;classification;cle-proposee
scripts/ui/gameplay_shell.gd;1432;Bracelet en recharge;boss_phase_text;joueur;resonance.refus.cooldown
scripts/ui/gameplay_shell.gd;1433;Aucune cible;boss_phase_text;joueur;resonance.refus.aucune_cible
scripts/ui/gameplay_shell.gd;1434;Cible invalide;boss_phase_text;joueur;resonance.refus.invalide
scripts/ui/gameplay_shell.gd;1435;Trop loin;boss_phase_text;joueur;resonance.refus.hors_portee
scripts/ui/gameplay_shell.gd;1436;Les deux ports sont trop écartés;boss_phase_text;joueur;resonance.refus.trop_loin
scripts/ui/gameplay_shell.gd;1437;Un obstacle coupe le trajet;boss_phase_text;joueur;resonance.refus.pas_de_vue
scripts/ui/gameplay_shell.gd;1438;Ce n'est pas du métal;boss_phase_text;joueur;resonance.refus.pas_metal
scripts/ui/gameplay_shell.gd;1439;Cet objet n'est pas chargé;boss_phase_text;joueur;resonance.refus.pas_charge
scripts/ui/gameplay_shell.gd;1440;Trop lourd pour la Polarité;boss_phase_text;joueur;resonance.refus.trop_lourd
scripts/ui/gameplay_shell.gd;1441;Rien à mettre à la terre;boss_phase_text;joueur;resonance.refus.pas_de_charge
scripts/ui/gameplay_shell.gd;1442;Il faut les pieds au sol;boss_phase_text;joueur;resonance.refus.pas_au_sol
scripts/ui/gameplay_shell.gd;1443;Mise à la terre déjà en cours;boss_phase_text;joueur;resonance.refus.occupe
scripts/ui/gameplay_shell.gd;1444;Le trajet est barré;boss_phase_text;joueur;resonance.refus.obstacle
scripts/ui/gameplay_shell.gd;1445;Pas de sol à l'arrivée;boss_phase_text;joueur;resonance.refus.pas_de_sol
scripts/ui/gameplay_shell.gd;1446;Endurance insuffisante;boss_phase_text;joueur;resonance.refus.endurance
scripts/ui/gameplay_shell.gd;1447;Cible perdue;boss_phase_text;joueur;resonance.refus.cible_perdue
scripts/ui/gameplay_shell.gd;1448;Interrompu;boss_phase_text;joueur;resonance.refus.interrompu
scripts/ui/gameplay_shell.gd;1535;Lien établi;_on_resonance_verdict;joueur;resonance.message.lien_etabli
scripts/ui/gameplay_shell.gd;1537;Polarité engagée;_on_resonance_verdict;joueur;resonance.message.polarite_engagee
scripts/ui/gameplay_shell.gd;1539;Arc Step;_on_resonance_verdict;joueur;resonance.action.arc_anchor
scripts/ui/gameplay_shell.gd;1546;Impulsion — aucune cible à portée;_on_resonance_pulse;joueur;resonance.message.pulse_vide
scripts/ui/gameplay_shell.gd;1548;Impulsion — %d cible%s révélée%s;_on_resonance_pulse;joueur;resonance.message.pulse_une|resonance.message.pulse_plusieurs
scripts/ui/gameplay_shell.gd;1554;Lien rompu;_on_resonance_link_dissolved;joueur;resonance.message.lien_rompu
scripts/ui/gameplay_shell.gd;1558;Mise à la terre effectuée;_on_resonance_grounded;joueur;resonance.message.terre_effectuee
scripts/ui/gameplay_shell.gd;1565;Mise à la terre annulée — %s;_on_resonance_ground_cancelled;joueur;resonance.message.terre_annulee
scripts/ui/gameplay_shell.gd;1617;Bracelet de Résonance;_resonance_action_line;joueur;resonance.viseur.titre
scripts/ui/gameplay_shell.gd;1622;Arc Link — relier;_resonance_action_line;joueur;resonance.viseur.lier
scripts/ui/gameplay_shell.gd;1623;Clic gauche : %s;_resonance_action_line;joueur;resonance.viseur.action
scripts/ui/gameplay_shell.gd;1632;Port retenu — vise le second port SANS lâcher G;_resonance_state_line;joueur;resonance.viseur.port_retenu
scripts/ui/gameplay_shell.gd;1636;Aucune cible dans l'axe — approche (18 m) et dégage la vue;_resonance_state_line;joueur;resonance.viseur.aucune_cible
