nom,dossier
Pickaxe_Bronze,assets/environment/props
Whetstone,assets/environment/props
Anvil,assets/environment/props
Anvil_Log,assets/environment/props
Banner_1,assets/environment/props
Banner_1_Cloth,assets/environment/props
Banner_2,assets/environment/props
Banner_2_Cloth,assets/environment/props
Pot_1,assets/environment/props
Pot_1_Lid,assets/environment/props
Mug,assets/environment/props
Bottle_1,assets/environment/props
Carrot,assets/environment/props
Rope_1,assets/environment/props
Chain_Coil,assets/environment/props
CandleStick,assets/environment/props
Candle_1,assets/environment/props
Book_Stack_1,assets/environment/props
Scroll_1,assets/environment/props
Workbench,assets/environment/props
Bed_Twin1,assets/environment/props
Shelf_Simple,assets/environment/props
Shelf_Arch,assets/environment/props
Bookcase_2,assets/environment/props
Stall_Cart_Empty,assets/environment/props
# ---- ARCHITECTURE — kit de construction citadelle/ruines/structures (§11 I/J/K)
Wall_Plaster_Straight,assets/environment/dungeon
Wall_Plaster_Straight_L,assets/environment/dungeon
Wall_Plaster_Straight_R,assets/environment/dungeon
Wall_Plaster_Door_Round,assets/environment/dungeon
Wall_Plaster_Window_Wide_Round,assets/environment/dungeon
Wall_UnevenBrick_Straight,assets/environment/dungeon
Wall_UnevenBrick_Door_Round,assets/environment/dungeon
Wall_UnevenBrick_Window_Thin_Round,assets/environment/dungeon
Wall_UnevenBrick_Window_Wide_Round,assets/environment/dungeon
Wall_Arch,assets/environment/dungeon
Wall_BottomCover,assets/environment/dungeon
Corner_Exterior_Brick,assets/environment/dungeon
Corner_Exterior_Wood,assets/environment/dungeon
Floor_Brick,assets/environment/dungeon
Floor_UnevenBrick,assets/environment/dungeon
Floor_WoodDark,assets/environment/dungeon
Stairs_Exterior_Straight,assets/environment/dungeon
Stairs_Exterior_Platform,assets/environment/dungeon
Stairs_Exterior_Sides,assets/environment/dungeon
Stair_Interior_Solid,assets/environment/dungeon
Roof_RoundTiles_4x6,assets/environment/dungeon
Roof_RoundTiles_6x8,assets/environment/dungeon
Roof_Wooden_2x1,assets/environment/dungeon
DoorFrame_Flat_Brick,assets/environment/dungeon
Door_1_Round,assets/environment/dungeon
Door_8_Round,assets/environment/dungeon
Prop_Support,assets/environment/dungeon
Prop_WoodenFence_Single,assets/environment/dungeon
Prop_WoodenFence_Extension1,assets/environment/dungeon
Prop_MetalFence_Simple,assets/environment/dungeon
Prop_Chimney,assets/environment/dungeon
Balcony_Simple_Straight,assets/environment/dungeon
Overhang_Plaster_Short,assets/environment/dungeon
Prop_Brick1,assets/environment/dungeon
Prop_Vine1,assets/environment/dungeon
Prop_Vine2,assets/environment/dungeon
Window_Wide_Round1,assets/environment/dungeon
WindowShutters_Wide_Round_Open,assets/environment/dungeon
Prop_ExteriorBorder_Straight1,assets/environment/dungeon
Prop_Wagon,assets/environment/dungeon
# ---- PIÈCES MODULAIRES UAL (V4 lot 13) — silhouettes de pillards (§12 :
# « pas de simples recolorations ») et retouche capuche héros. Même
# squelette 65 os que Ranger/Peasant, matériau MI_Ranger.
Male_Ranger_Acc_Pauldron,assets/characters/parts
Male_Ranger_Head_Hood,assets/characters/parts
Male_Ranger_Feet_Boots,assets/characters/parts
Superhero_Male_FullBody,assets/characters/parts
# ---- Monde ouvert (ordre d'extension §7) : sélection par
# ---- FONCTION — toitures, débords, sols, portes, escaliers,
# ---- clôtures, essences par biome, rochers et dalles.
Roof_RoundTiles_4x4,assets/environment/village
Roof_RoundTiles_4x8,assets/environment/village
Roof_RoundTiles_6x6,assets/environment/village
Roof_RoundTiles_6x10,assets/environment/village
Roof_RoundTiles_8x8,assets/environment/village
Roof_RoundTile_2x1,assets/environment/village
Roof_Dormer_RoundTile,assets/environment/village
Roof_Tower_RoundTiles,assets/environment/village
Roof_Modular_RoundTiles,assets/environment/village
Roof_Front_Brick4,assets/environment/village
Roof_Front_Brick6,assets/environment/village
Roof_Front_Brick8,assets/environment/village
Roof_Front_Brick4_Half_L,assets/environment/village
Roof_Front_Brick4_Half_R,assets/environment/village
Roof_FrontSupports,assets/environment/village
Roof_Support2,assets/environment/village
Roof_Log,assets/environment/village
Roof_Wooden_2x1_Center,assets/environment/village
Roof_Wooden_2x1_L,assets/environment/village
Roof_Wooden_2x1_R,assets/environment/village
Roof_Wooden_2x1_Corner,assets/environment/village
Overhang_Roof_Plaster,assets/environment/village
Overhang_Roof_UnevenBricks,assets/environment/village
Overhang_RoofIncline_Plaster,assets/environment/village
Overhang_RoofIncline_UnevenBricks,assets/environment/village
Overhang_Plaster_Long,assets/environment/village
Overhang_Plaster_Corner,assets/environment/village
Overhang_UnevenBrick_Long,assets/environment/village
Overhang_UnevenBrick_Corner,assets/environment/village
Overhang_Side_Plaster_Long_L,assets/environment/village
Overhang_Side_Plaster_Long_R,assets/environment/village
Overhang_Side_UnevenBrick_Long_L,assets/environment/village
Overhang_Side_UnevenBrick_Long_R,assets/environment/village
Floor_WoodLight,assets/environment/village
Floor_RedBrick,assets/environment/village
Floor_WoodDark_Half1,assets/environment/village
Floor_WoodLight_OverhangCorner,assets/environment/village
Door_2_Round,assets/environment/village
Door_4_Round,assets/environment/village
DoorFrame_Round_WoodDark,assets/environment/village
Window_Roof_Thin,assets/environment/village
Window_Roof_Wide,assets/environment/village
Stairs_Exterior_Straight_L,assets/environment/village
Stairs_Exterior_Straight_R,assets/environment/village
Stairs_Exterior_SidePlatform,assets/environment/village
Stair_Interior_Simple,assets/environment/village
Stair_Interior_Rails,assets/environment/village
Balcony_Simple_Corner,assets/environment/village
Balcony_Cross_Straight,assets/environment/village
Prop_Chimney2,assets/environment/village
Prop_WoodenFence_Extension2,assets/environment/village
Prop_MetalFence_Ornament,assets/environment/village
Prop_Crate,assets/environment/village
Barrel_Holder,assets/environment/props
Crate_Metal,assets/environment/props
FarmCrate_Carrot,assets/environment/props
CommonTree_1,assets/environment/foliage
CommonTree_4,assets/environment/foliage
Plant_7_Big,assets/environment/foliage
Rock_Medium_2,assets/environment/rocks
Rock_Medium_3,assets/environment/rocks
Pebble_Square_1,assets/environment/rocks
Pebble_Square_2,assets/environment/rocks
